1,1455.0000000000,300.0000000000
2,1142.0000000000,264.0000000000
3,813.0000000000,237.0000000000
4,793.0000000000,269.0000000000
1,1466.0000000000,300.0000000000
2,1156.0000000000,264.0000000000
3,832.0000000000,236.0000000000
4,790.0000000000,270.0000000000
1,1476.0000000000,300.0000000000
2,1168.0000000000,264.0000000000
3,849.0000000000,235.0000000000
4,786.0000000000,271.0000000000
1,1485.0000000000,300.0000000000
2,1180.0000000000,264.0000000000
3,865.0000000000,235.0000000000
4,782.0000000000,272.0000000000
1,1492.0000000000,300.0000000000
2,1189.0000000000,265.0000000000
3,878.0000000000,234.0000000000
4,776.0000000000,273.0000000000
1,1496.0000000000,300.0000000000
2,1196.0000000000,265.0000000000
3,890.0000000000,234.0000000000
4,770.0000000000,273.0000000000
1,1498.0000000000,300.0000000000
2,1201.0000000000,265.0000000000
3,898.0000000000,234.0000000000
4,763.0000000000,272.0000000000
1,1498.0000000000,299.0000000000
2,1203.0000000000,264.0000000000
3,903.0000000000,234.0000000000
4,755.0000000000,271.0000000000
1,1495.0000000000,298.0000000000
2,1203.0000000000,264.0000000000
3,906.0000000000,234.0000000000
4,747.0000000000,269.0000000000
1,1490.0000000000,297.0000000000
2,1200.0000000000,263.0000000000
3,906.0000000000,233.0000000000
4,738.0000000000,267.0000000000
1,1482.0000000000,295.0000000000
2,1194.0000000000,262.0000000000
3,902.0000000000,232.0000000000
4,728.0000000000,264.0000000000
1,1472.0000000000,293.0000000000
2,1187.0000000000,260.0000000000
3,896.0000000000,232.0000000000
4,717.0000000000,260.0000000000
1,1460.0000000000,291.0000000000
2,1177.0000000000,258.0000000000
3,888.0000000000,230.0000000000
4,705.0000000000,256.0000000000
1,1447.0000000000,289.0000000000
2,1165.0000000000,256.0000000000
3,877.0000000000,229.0000000000
4,693.0000000000,250.0000000000
1,1432.0000000000,286.0000000000
2,1151.0000000000,253.0000000000
3,864.0000000000,228.0000000000
4,680.0000000000,244.0000000000
1,1415.0000000000,283.0000000000
2,1136.0000000000,251.0000000000
3,849.0000000000,226.0000000000
4,667.0000000000,238.0000000000
1,1398.0000000000,279.0000000000
2,1120.0000000000,248.0000000000
3,832.0000000000,224.0000000000
4,653.0000000000,231.0000000000
1,1380.0000000000,276.0000000000
2,1103.0000000000,245.0000000000
3,815.0000000000,222.0000000000
4,639.0000000000,223.0000000000
1,1362.0000000000,272.0000000000
2,1086.0000000000,242.0000000000
3,797.0000000000,220.0000000000
4,625.0000000000,215.0000000000
1,1344.0000000000,268.0000000000
2,1069.0000000000,238.0000000000
3,779.0000000000,218.0000000000
4,610.0000000000,206.0000000000
1,1327.0000000000,264.0000000000
2,1052.0000000000,235.0000000000
3,761.0000000000,216.0000000000
4,596.0000000000,198.0000000000
1,1311.0000000000,260.0000000000
2,1036.0000000000,232.0000000000
3,743.0000000000,214.0000000000
4,583.0000000000,189.0000000000
1,1296.0000000000,256.0000000000
2,1021.0000000000,228.0000000000
3,727.0000000000,212.0000000000
4,570.0000000000,180.0000000000
1,1283.0000000000,253.0000000000
2,1008.0000000000,225.0000000000
3,712.0000000000,210.0000000000
4,559.0000000000,172.0000000000
1,1272.0000000000,249.0000000000
2,997.0000000000,222.0000000000
3,699.0000000000,207.0000000000
4,550.0000000000,164.0000000000
1,1263.0000000000,246.0000000000
2,987.0000000000,219.0000000000
3,688.0000000000,205.0000000000
4,543.0000000000,157.0000000000
1,1257.0000000000,242.0000000000
2,981.0000000000,215.0000000000
3,680.0000000000,202.0000000000
4,538.0000000000,150.0000000000
1,1253.0000000000,239.0000000000
2,976.0000000000,212.0000000000
3,675.0000000000,199.0000000000
4,537.0000000000,145.0000000000
1,1252.0000000000,236.0000000000
2,975.0000000000,209.0000000000
3,673.0000000000,196.0000000000
4,538.0000000000,141.0000000000
1,1254.0000000000,233.0000000000
2,976.0000000000,206.0000000000
3,674.0000000000,192.0000000000
4,542.0000000000,138.0000000000
1,1258.0000000000,231.0000000000
2,980.0000000000,203.0000000000
3,678.0000000000,189.0000000000
4,548.0000000000,136.0000000000
1,1266.0000000000,229.0000000000
2,987.0000000000,199.0000000000
3,684.0000000000,185.0000000000
4,558.0000000000,135.0000000000
1,1276.0000000000,227.0000000000
2,997.0000000000,196.0000000000
3,694.0000000000,181.0000000000
4,569.0000000000,136.0000000000
1,1288.0000000000,225.0000000000
2,1009.0000000000,194.0000000000
3,707.0000000000,176.0000000000
4,583.0000000000,137.0000000000
1,1303.0000000000,223.0000000000
2,1023.0000000000,191.0000000000
3,721.0000000000,172.0000000000
4,598.0000000000,140.0000000000
1,1320.0000000000,222.0000000000
2,1038.0000000000,188.0000000000
3,738.0000000000,168.0000000000
4,614.0000000000,143.0000000000
1,1338.0000000000,221.0000000000
2,1056.0000000000,186.0000000000
3,756.0000000000,163.0000000000
4,630.0000000000,147.0000000000
1,1357.0000000000,220.0000000000
2,1074.0000000000,184.0000000000
3,775.0000000000,159.0000000000
4,647.0000000000,151.0000000000
1,1377.0000000000,220.0000000000
2,1093.0000000000,181.0000000000
3,794.0000000000,155.0000000000
4,664.0000000000,156.0000000000
1,1398.0000000000,219.0000000000
2,1112.0000000000,179.0000000000
3,814.0000000000,150.0000000000
